"filename", "language", "SCSS", "JavaScript", "JavaScript React", "comment", "blank", "total"
"c:\Users\mcpiv\Learning\React\perfume-site\src\App.js", "JavaScript", 0, 51, 0, 0, 6, 57
"c:\Users\mcpiv\Learning\React\perfume-site\src\App.test.js", "JavaScript", 0, 8, 0, 0, 2, 10
"c:\Users\mcpiv\Learning\React\perfume-site\src\components\CategoryPage\CategoryPage.jsx", "JavaScript React", 0, 0, 103, 0, 4, 107
"c:\Users\mcpiv\Learning\React\perfume-site\src\components\CategoryPage\CategoryPage.scss", "SCSS", 89, 0, 0, 0, 6, 95
"c:\Users\mcpiv\Learning\React\perfume-site\src\components\Home\Home.jsx", "JavaScript React", 0, 0, 13, 0, 4, 17
"c:\Users\mcpiv\Learning\React\perfume-site\src\components\Home\Home.scss", "SCSS", 6, 0, 0, 5, 2, 13
"c:\Users\mcpiv\Learning\React\perfume-site\src\components\ImageSlider\ImageSlider.jsx", "JavaScript React", 0, 0, 41, 0, 7, 48
"c:\Users\mcpiv\Learning\React\perfume-site\src\components\ImageSlider\ImageSlider.scss", "SCSS", 42, 0, 0, 0, 5, 47
"c:\Users\mcpiv\Learning\React\perfume-site\src\components\ItemsContainer\ItemCard\ItemCard.jsx", "JavaScript React", 0, 0, 50, 0, 4, 54
"c:\Users\mcpiv\Learning\React\perfume-site\src\components\ItemsContainer\ItemDetails\ItemDetails.jsx", "JavaScript React", 0, 0, 94, 0, 6, 100
"c:\Users\mcpiv\Learning\React\perfume-site\src\components\ItemsContainer\ItemDetails\ItemDetails.scss", "SCSS", 135, 0, 0, 0, 7, 142
"c:\Users\mcpiv\Learning\React\perfume-site\src\components\ItemsContainer\ItemsContainer.jsx", "JavaScript React", 0, 0, 44, 0, 4, 48
"c:\Users\mcpiv\Learning\React\perfume-site\src\components\ItemsContainer\ItemsContainer.scss", "SCSS", 69, 0, 0, 0, 6, 75
"c:\Users\mcpiv\Learning\React\perfume-site\src\components\Login\Login.jsx", "JavaScript React", 0, 0, 55, 0, 5, 60
"c:\Users\mcpiv\Learning\React\perfume-site\src\components\Login\Login.scss", "SCSS", 58, 0, 0, 0, 6, 64
"c:\Users\mcpiv\Learning\React\perfume-site\src\components\NavDropdown\DropdownElement.jsx", "JavaScript React", 0, 0, 15, 0, 4, 19
"c:\Users\mcpiv\Learning\React\perfume-site\src\components\NavDropdown\NavDropdown.jsx", "JavaScript React", 0, 0, 37, 0, 3, 40
"c:\Users\mcpiv\Learning\React\perfume-site\src\components\PlaceOrder\PlaceOrder.jsx", "JavaScript React", 0, 0, 249, 0, 5, 254
"c:\Users\mcpiv\Learning\React\perfume-site\src\components\PlaceOrder\PlaceOrder.scss", "SCSS", 71, 0, 0, 0, 6, 77
"c:\Users\mcpiv\Learning\React\perfume-site\src\components\RegisterAccount\RegisterAccount.jsx", "JavaScript React", 0, 0, 124, 0, 6, 130
"c:\Users\mcpiv\Learning\React\perfume-site\src\components\RegisterAccount\RegisterAccount.scss", "SCSS", 52, 0, 0, 0, 3, 55
"c:\Users\mcpiv\Learning\React\perfume-site\src\components\SearchContainer\SearchContainer.jsx", "JavaScript React", 0, 0, 15, 0, 3, 18
"c:\Users\mcpiv\Learning\React\perfume-site\src\components\SearchContainer\SearchContainer.scss", "SCSS", 42, 0, 0, 0, 3, 45
"c:\Users\mcpiv\Learning\React\perfume-site\src\components\ShoppingBasketPreview\ShoppingBasketItem\ShoppingBasketItem.jsx", "JavaScript React", 0, 0, 42, 0, 4, 46
"c:\Users\mcpiv\Learning\React\perfume-site\src\components\ShoppingBasketPreview\ShoppingBasketPreview.jsx", "JavaScript React", 0, 0, 53, 0, 3, 56
"c:\Users\mcpiv\Learning\React\perfume-site\src\components\ShoppingBasketPreview\ShoppingBasketPreview.scss", "SCSS", 80, 0, 0, 0, 5, 85
"c:\Users\mcpiv\Learning\React\perfume-site\src\components\ShoppingBasket\ShoppingBasket.jsx", "JavaScript React", 0, 0, 41, 0, 3, 44
"c:\Users\mcpiv\Learning\React\perfume-site\src\components\ShoppingBasket\ShoppingBasket.scss", "SCSS", 84, 0, 0, 0, 5, 89
"c:\Users\mcpiv\Learning\React\perfume-site\src\components\firebase\firebase.js", "JavaScript", 0, 18, 0, 1, 3, 22
"c:\Users\mcpiv\Learning\React\perfume-site\src\components\navbar\Navbar.jsx", "JavaScript React", 0, 0, 191, 0, 8, 199
"c:\Users\mcpiv\Learning\React\perfume-site\src\components\navbar\Navbar.scss", "SCSS", 195, 0, 0, 1, 9, 205
"c:\Users\mcpiv\Learning\React\perfume-site\src\components\topnav\Topnav.scss", "SCSS", 59, 0, 0, 0, 6, 65
"c:\Users\mcpiv\Learning\React\perfume-site\src\components\topnav\topnav.jsx", "JavaScript React", 0, 0, 91, 0, 6, 97
"c:\Users\mcpiv\Learning\React\perfume-site\src\customHooks\getWindowWidth.jsx", "JavaScript React", 0, 0, 16, 0, 6, 22
"c:\Users\mcpiv\Learning\React\perfume-site\src\customHooks\useScrollPosition.jsx", "JavaScript React", 0, 0, 15, 0, 6, 21
"c:\Users\mcpiv\Learning\React\perfume-site\src\index.js", "JavaScript", 0, 20, 0, 3, 4, 27
"c:\Users\mcpiv\Learning\React\perfume-site\src\index.scss", "SCSS", 26, 0, 0, 3, 6, 35
"c:\Users\mcpiv\Learning\React\perfume-site\src\redux\actions\Shop.js", "JavaScript", 0, 24, 0, 0, 4, 28
"c:\Users\mcpiv\Learning\React\perfume-site\src\redux\actions\User.js", "JavaScript", 0, 11, 0, 0, 2, 13
"c:\Users\mcpiv\Learning\React\perfume-site\src\redux\reducers\Shop.reducer.js", "JavaScript", 0, 88, 0, 0, 5, 93
"c:\Users\mcpiv\Learning\React\perfume-site\src\redux\reducers\User.reducer.js", "JavaScript", 0, 25, 0, 0, 3, 28
"c:\Users\mcpiv\Learning\React\perfume-site\src\redux\rootReducer.js", "JavaScript", 0, 15, 0, 0, 4, 19
"c:\Users\mcpiv\Learning\React\perfume-site\src\redux\store.js", "JavaScript", 0, 8, 0, 0, 4, 12
"c:\Users\mcpiv\Learning\React\perfume-site\src\serviceWorker.js", "JavaScript", 0, 98, 0, 31, 13, 142
"c:\Users\mcpiv\Learning\React\perfume-site\src\setupTests.js", "JavaScript", 0, 1, 0, 4, 1, 6
"c:\Users\mcpiv\Learning\React\perfume-site\src\stylesheets\colors.scss", "SCSS", 5, 0, 0, 0, 1, 6
"Total", "-", 1013, 367, 1289, 48, 218, 2935